"Journal Data Filtered By:  Selected Categories: ARCHAEOLOGY Selected Editions: AHCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Conservation and Management of Archaeological Sites","CONSERV MANAGE ARCHA","1350-5033","1753-5522","ARCHAEOLOGY - AHCI","278","0.2","N/A","0.53","15"%,
"Public Archaeology","PUBLIC ARCHAEOL","1465-5187","1753-5530","ARCHAEOLOGY - AHCI","191","0.2","N/A","0.51","30"%,
"Boletin del Museo Chileno de Arte Precolombino","B MUS CHIL ARTE PREC","0716-1530","0718-6894","ARCHAEOLOGY - AHCI","176","0.2","N/A","0.43","17.02"%,
"Belleten","BELLETEN","0041-4255","0041-4255","ARCHAEOLOGY - AHCI","242","0.2","N/A","0.19","63.83"%,
"Akkadica","AKKADICA","1378-5087","0779-7842","ARCHAEOLOGY - AHCI","36","0.2","N/A","0.14","0"%,
"Archaologisches Korrespondenzblatt","ARCHAOL KORRESPONDEN","0342-734X","N/A","ARCHAEOLOGY - AHCI","210","0.2","N/A","0.13","0"%,
"Adalya","ADALYA","1301-2746","N/A","ARCHAEOLOGY - AHCI","77","0.2","N/A","0.1","0"%,
"ArcheoSciences-Revue d Archeometrie","ARCHEOSCIENCES-REV A","1960-1360","2104-3728","ARCHAEOLOGY - AHCI","110","0.2","N/A","0.1","1.12"%,
"BULLETIN OF THE AMERICAN SOCIETY OF PAPYROLOGISTS","B AM SOC PAPYROLOGIS","0003-1186","1938-6958","ARCHAEOLOGY - AHCI","88","0.2","N/A","0.1","0"%,
"Vjesnik za arheologiju i povijest dalmatinsku","VJESN ARHEOL POVIJ D","1845-7789","N/A","ARCHAEOLOGY - AHCI","21","0.2","N/A","0.06","0"%,
"Fornvannen-Journal of Swedish Antiquarian Research","FORNVANNEN","0015-7813","1404-9430","ARCHAEOLOGY - AHCI","83","0.1","N/A","0.49","0"%,
"Aula Orientalis","AULA ORIENT","0212-5730","0212-5730","ARCHAEOLOGY - AHCI","41","0.1","N/A","0.19","0"%,
"ISRAEL EXPLORATION JOURNAL","ISRAEL EXPLOR J","0021-2059","N/A","ARCHAEOLOGY - AHCI","396","0.1","N/A","0.19","0"%,
"BULLETIN MONUMENTAL","B MONUMENTAL","0007-473X","N/A","ARCHAEOLOGY - AHCI","74","0.1","N/A","0.06","0"%,
"ZEITSCHRIFT FUR AGYPTISCHE SPRACHE UND ALTERTUMSKUNDE","Z AGYPT SPRACHE ALT","0044-216X","N/A","ARCHAEOLOGY - AHCI","67","0.1","N/A","0.06","17.54"%,
"Journal of Juristic Papyrology","J JURISTIC PAPYROL","0075-4277","N/A","ARCHAEOLOGY - AHCI","48","0.1","N/A","0.03","0"%,
"TRANSACTIONS OF THE ANCIENT MONUMENTS SOCIETY","T ANCIENT MONUMENT","0951-001X","0951-001X","ARCHAEOLOGY - AHCI","7","<0.1","N/A","0.09","0"%,
"Journal of Historic Buildings and Places","J HIST BLDG PLACES","2753-2453","N/A","ARCHAEOLOGY - AHCI",0,"N/A","N/A","N/A","0"%,

Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
