"","doi","ps","reporting","p_value"
"123","10.1016/j.jasrep.2023.104060","p = 41.1%)","exact",41.1
"124","10.1016/j.jasrep.2023.104060","p = 26.8%)","exact",26.8
"125","10.1016/j.jasrep.2023.104060","p = 26.3%)","exact",26.3
"126","10.1016/j.jasrep.2023.104014","p< 0.05” ","inequ",0.025
"127","10.1016/j.jasrep.2023.104014","p< 0.05”.","inequ",0.025
"128","10.1016/j.jasrep.2023.104052","p = 0.46δw","exact",0.46
"129","10.1016/j.jasrep.2023.104052","p = late p","exact",1e-05
"130","10.1016/j.jasrep.2023.104052","p = 0.46δw","exact",0.46
"131","10.1016/j.jasrep.2023.104052","p = 0.004)","exact",0.004
"132","10.1016/j.jasrep.2023.104052","p = 0.502)","exact",0.502
"133","10.1016/j.jasrep.2023.104052","p = 0.126)","exact",0.126
"134","10.1016/j.jasrep.2023.104032","p = 37). i","exact",37
"135","10.1016/j.jasrep.2023.104032","p = 0.6034","exact",0.6034
"136","10.1016/j.jasrep.2023.104015","p < 0.05; ","inequ",0.025
"137","10.1016/j.jasrep.2023.103988","p = 0.35),","exact",0.35
"138","10.1016/j.jasrep.2023.104023","p = 34, mn","exact",34
"139","10.1016/j.jasrep.2023.104023","p = 37). t","exact",37
"140","10.1016/j.jasrep.2023.104023","p = 473), ","exact",473
"141","10.1016/j.jasrep.2023.104023","p = 73): f","exact",73
"142","10.1016/j.jasrep.2023.104023","p = 36); a","exact",36
"143","10.1016/j.jasrep.2023.104023","p = 267). ","exact",267
"144","10.1016/j.jasrep.2023.104023","p = 64) re","exact",1e-05
"145","10.1016/j.jasrep.2023.104023","p = 6), fo","exact",6
"146","10.1016/j.jasrep.2023.104023","p = 5), wo","exact",5
"147","10.1016/j.jasrep.2023.104023","p = 3 each","exact",1e-05
"148","10.1016/j.jasrep.2023.104023","p = 2). di","exact",2
"149","10.1016/j.jasrep.2023.104023","p = 232, o","exact",232
"150","10.1016/j.jasrep.2023.104023","p = 92, or","exact",92
"151","10.1016/j.jasrep.2023.104023","p = 107, o","exact",107
"152","10.1016/j.jasrep.2023.104023","p = 17, or","exact",17
"153","10.1016/j.jasrep.2023.104023","p = 3; 1.1","exact",3
"154","10.1016/j.jasrep.2023.104023","p = 10; or","exact",10
"155","10.1016/j.jasrep.2023.104023","p = 7) of ","exact",7
"156","10.1016/j.jasrep.2023.104023","p = 38, or","exact",38
"157","10.1016/j.jasrep.2023.104023","p = 51, or","exact",51
"158","10.1016/j.jasrep.2023.104023","p = 32, or","exact",32
"159","10.1016/j.jasrep.2023.104023","p = 19, or","exact",19
"160","10.1016/j.jasrep.2023.104023","p = 12, or","exact",12
"161","10.1016/j.jasrep.2023.104023","p = 6, or ","exact",6
"162","10.1016/j.jasrep.2023.104023","p = 10, or","exact",10
"163","10.1016/j.jasrep.2023.104023","p = 8, or ","exact",8
"164","10.1016/j.jasrep.2023.104023","p = 2, or ","exact",2
"165","10.1016/j.jasrep.2023.104023","p = 49 out","exact",49
"166","10.1016/j.jasrep.2023.104023","p = 226, o","exact",226
"167","10.1016/j.jasrep.2023.104023","p = 166, o","exact",166
"168","10.1016/j.jasrep.2023.104023","p = 48, or","exact",48
"169","10.1016/j.jasrep.2023.104023","p = 25, or","exact",25
"170","10.1016/j.jasrep.2023.104023","p = 150, o","exact",150
"171","10.1016/j.jasrep.2023.104023","p = 89, or","exact",89
"172","10.1016/j.jasrep.2023.104024","p < 0.01; ","inequ",0.005
"173","10.1016/j.jasrep.2023.104024","p < 0.01).","inequ",0.005
"174","10.1016/j.jasrep.2023.104007","p < 0.001)","inequ",5e-04
"175","10.1016/j.jasrep.2023.104007","p < 0.0001","inequ",5e-05
"176","10.1016/j.jasrep.2023.104007","p < 0.05, ","inequ",0.025
"177","10.1016/j.jasrep.2023.104007","p = 0.016)","exact",0.016
"178","10.1016/j.jasrep.2023.104007","p = 1.542e","exact",1e-05
"179","10.1016/j.jasrep.2023.104007","p = 5.596e","exact",1e-05
"180","10.1016/j.jasrep.2023.104007","p = 2.021e","exact",1e-05
"181","10.1016/j.jasrep.2023.104007","p = 0.0998","exact",0.0998
"182","10.1016/j.jasrep.2023.104022","p = 5 dime","exact",1e-05
"183","10.1016/j.jasrep.2023.104022","p = 10 (co","exact",10
"184","10.1016/j.jasrep.2023.104022","p = 10 var","exact",10
"185","10.1016/j.jasrep.2023.104022","p = 13 che","exact",1e-05
"186","10.1016/j.jasrep.2023.104022","p = 13) us","exact",13
"187","10.1016/j.jasrep.2023.104008","p = 3799; ","exact",3799
"188","10.1016/j.jasrep.2023.104008","p = 449; 1","exact",449
"189","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"190","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"191","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"192","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"193","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"194","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"195","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"196","10.1016/j.jasrep.2023.104017","p = 0.0824","exact",0.0824
"197","10.1016/j.jasrep.2023.104017","p = 0.2541","exact",0.2541
"198","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"199","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"200","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"201","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"202","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"203","10.1016/j.jasrep.2023.104017","p = 0.0000","exact",0
"204","10.1016/j.jasrep.2023.104004","p < 0.05) ","inequ",0.025
"205","10.1016/j.jasrep.2023.104004","p < 0.05) ","inequ",0.025
"206","10.1016/j.jasrep.2023.104004","p < 0.05) ","inequ",0.025
"207","10.1016/j.jasrep.2023.104004","p < 0.05) ","inequ",0.025
"208","10.1016/j.jasrep.2023.103981","p = 0.0003","exact",3e-04
"209","10.1016/j.jasrep.2023.103981","p = 0.0011","exact",0.0011
"210","10.1016/j.jasrep.2023.103982","p = 0.05 (","exact",0.05
"211","10.1016/j.jasrep.2023.103992","p = 1 1 + ","exact",1
"212","10.1016/j.jasrep.2023.103979","p = 0.375)","exact",0.375
"213","10.1016/j.jasrep.2023.103979","p = 0.4004","exact",0.4004
"214","10.1016/j.jasrep.2023.103979","p < 0.001)","inequ",5e-04
"215","10.1016/j.jasrep.2023.103979","p = 0.92).","exact",0.92
"216","10.1016/j.jasrep.2023.103979","p = 0.012)","exact",0.012
"217","10.1016/j.jasrep.2023.103963","p = 0.010)","exact",0.01
"218","10.1016/j.jasrep.2023.103932","p = 0,0001","exact",1
"219","10.1016/j.jasrep.2023.103932","p = 0,004)","exact",4
"220","10.1016/j.jasrep.2023.103932","p = 0,08).","exact",8
"221","10.1016/j.jasrep.2023.103932","p = 0,0003","exact",3
"222","10.1016/j.jasrep.2023.103932","p = 0,0425","exact",425
"223","10.1016/j.jasrep.2023.103932","p = 0,3161","exact",3161
"224","10.1016/j.jasrep.2023.103932","p = 0,6329","exact",6329
"225","10.1016/j.jasrep.2023.103956","p = el per","exact",1e-05
"226","10.1016/j.jasrep.2023.103956","p > 0.05).","inequ",0.05
"227","10.1016/j.jasrep.2023.103974","p = 0.24) ","exact",0.24
"228","10.1016/j.jasrep.2023.103974","p > 0.05 )","inequ",0.05
"229","10.1016/j.jasrep.2023.103974","p > 0.05 )","inequ",0.05
"230","10.1016/j.jasrep.2023.103974","p > 0.05 )","inequ",0.05
"231","10.1016/j.jasrep.2023.103974","p > 0.05 )","inequ",0.05
"232","10.1016/j.jasrep.2023.103974","p > 0.05 )","inequ",0.05
"233","10.1016/j.jasrep.2023.103974","p > 0.05 )","inequ",0.05
"234","10.1016/j.jasrep.2023.103976","p < 0.05 )","inequ",0.025
"235","10.1016/j.jasrep.2023.103967","p = 0.002 ","exact",0.002
"236","10.1016/j.jasrep.2023.103967","p = 0.007,","exact",0.007
"237","10.1016/j.jasrep.2023.103947","p = 256) a","exact",256
"238","10.1016/j.jasrep.2023.103947","p = 657) (","exact",657
"239","10.1016/j.jasrep.2023.103947","p = 115, f","exact",115
"240","10.1016/j.jasrep.2023.103947","p < 0.001)","inequ",5e-04
"241","10.1016/j.jasrep.2023.103947","p < 0.001)","inequ",5e-04
"242","10.1016/j.jasrep.2023.103937","p = 0.005*","exact",0.005
"243","10.1016/j.jasrep.2023.103937","p = 0.013*","exact",0.013
"244","10.1016/j.jasrep.2023.103937","p < 0.001 ","inequ",5e-04
"245","10.1016/j.jasrep.2023.103937","p = 0.002 ","exact",0.002
"246","10.1016/j.jasrep.2023.103937","p = 0.005 ","exact",0.005
"247","10.1016/j.jasrep.2023.103937","p < 0.001 ","inequ",5e-04
"248","10.1016/j.jasrep.2023.103937","p < 0.001 ","inequ",5e-04
"249","10.1016/j.jasrep.2023.103937","p < 0.001 ","inequ",5e-04
"250","10.1016/j.jasrep.2023.103937","p < 0.001*","inequ",5e-04
"251","10.1016/j.jasrep.2023.103937","p < 0.001*","inequ",5e-04
"252","10.1016/j.jasrep.2023.103937","p < 0.001 ","inequ",5e-04
"253","10.1016/j.jasrep.2023.103937","p < 0.001*","inequ",5e-04
"254","10.1016/j.jasrep.2023.103937","p < 0.001)","inequ",5e-04
"255","10.1016/j.jasrep.2023.103937","p < 0.001)","inequ",5e-04
"256","10.1016/j.jasrep.2023.103937","p = 1), ne","exact",1e-05
"257","10.1016/j.jasrep.2023.103937","p = 1). ho","exact",1
"258","10.1016/j.jasrep.2023.103944","p < 0.000)","inequ",0
"259","10.1016/j.jasrep.2023.103945","p < 0.05),","inequ",0.025
"260","10.1016/j.jasrep.2023.103916","p = 0.001)","exact",0.001
"261","10.1016/j.jasrep.2023.103916","p = 0.001)","exact",0.001
"262","10.1016/j.jasrep.2023.103916","p = 0.940)","exact",0.94
"263","10.1016/j.jasrep.2023.103916","p = 0.43 f","exact",0.43
"264","10.1016/j.jasrep.2023.103916","p = 0.773)","exact",0.773
"265","10.1016/j.jasrep.2023.103916","p = 0.776)","exact",0.776
"266","10.1016/j.jasrep.2023.103916","p = 0.369)","exact",0.369
"267","10.1016/j.jasrep.2023.103916","p = 0.005 ","exact",0.005
"268","10.1016/j.jasrep.2023.103916","p = 0.11 f","exact",0.11
"269","10.1016/j.jasrep.2023.103916","p = 0.024 ","exact",0.024
"270","10.1016/j.jasrep.2023.103916","p = 0.001 ","exact",0.001
"271","10.1016/j.jasrep.2023.103866","p = 0.0002","exact",2e-04
"272","10.1016/j.jasrep.2023.103866","p = 0.602)","exact",0.602
"273","10.1016/j.jasrep.2023.103866","p = 0.269)","exact",0.269
"274","10.1016/j.jasrep.2023.103866","p = 0.158)","exact",0.158
"275","10.1016/j.jasrep.2023.103866","p = 0.000,","exact",0
"276","10.1016/j.jasrep.2023.103866","p = 0.000)","exact",0
"277","10.1016/j.jasrep.2023.103866","p = 0.569)","exact",0.569
"278","10.1016/j.jasrep.2023.103866","p = 0.158)","exact",0.158
"279","10.1016/j.jasrep.2023.103866","p = 0.235)","exact",0.235
"280","10.1016/j.jasrep.2023.103866","p = 0.569)","exact",0.569
"281","10.1016/j.jasrep.2023.103866","p = 0.508)","exact",0.508
"282","10.1016/j.jasrep.2023.103866","p = 0.257)","exact",0.257
"283","10.1016/j.jasrep.2023.103866","p = 0.717)","exact",0.717
"284","10.1016/j.jasrep.2023.103866","p = 0.343,","exact",0.343
"285","10.1016/j.jasrep.2023.103866","p = 0.013)","exact",0.013
"286","10.1016/j.jasrep.2023.103866","p = 0.647)","exact",0.647
"287","10.1016/j.jasrep.2023.103866","p = 0.056)","exact",0.056
"288","10.1016/j.jasrep.2023.103866","p = 0.101)","exact",0.101
"289","10.1016/j.jasrep.2023.103866","p = 0.000,","exact",0
"290","10.1016/j.jasrep.2023.103866","p = 0.000)","exact",0
"291","10.1016/j.jasrep.2023.103866","p = 0.036)","exact",0.036
"292","10.1016/j.jasrep.2023.103866","p = 0.677,","exact",0.677
"293","10.1016/j.jasrep.2023.103866","p = 0.621)","exact",0.621
"294","10.1016/j.jasrep.2023.103866","p = 0.159)","exact",0.159
"295","10.1016/j.jasrep.2023.103866","p = 0.089)","exact",0.089
"296","10.1016/j.jasrep.2023.103866","p = 0.797)","exact",0.797
"297","10.1016/j.jasrep.2023.103866","p = 0.917)","exact",0.917
"298","10.1016/j.jasrep.2023.103866","p = 0.287)","exact",0.287
"299","10.1016/j.jasrep.2023.103866","p = 0.011,","exact",0.011
"300","10.1016/j.jasrep.2023.103866","p = 0.009)","exact",0.009
"301","10.1016/j.jasrep.2023.103866","p = 0.544)","exact",0.544
"302","10.1016/j.jasrep.2023.103866","p = 0.457)","exact",0.457
"303","10.1016/j.jasrep.2023.103866","p = 0.422)","exact",0.422
"304","10.1016/j.jasrep.2023.103866","p = 0.476)","exact",0.476
"305","10.1016/j.jasrep.2023.103866","p = 0.372)","exact",0.372
"306","10.1016/j.jasrep.2023.103866","p = 0.316)","exact",0.316
"307","10.1016/j.jasrep.2023.103866","p = 0.376)","exact",0.376
"308","10.1016/j.jasrep.2023.103866","p = 0.453)","exact",0.453
"309","10.1016/j.jasrep.2023.103866","p = 0.698.","exact",0.698
"310","10.1016/j.jasrep.2023.103866","p = 0.008)","exact",0.008
"311","10.1016/j.jasrep.2023.103866","p = 0.719)","exact",0.719
"312","10.1016/j.jasrep.2023.103866","p = 0.800)","exact",0.8
"313","10.1016/j.jasrep.2023.103866","p = 0.396)","exact",0.396
"314","10.1016/j.jasrep.2023.103866","p = 0.000,","exact",0
"315","10.1016/j.jasrep.2023.103866","p = 0.021)","exact",0.021
"316","10.1016/j.jasrep.2023.103866","p = 0.000)","exact",0
"317","10.1016/j.jasrep.2023.103866","p = 0.353)","exact",0.353
